trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,526819,150078,376741,0.2849
astar_23B.trace.gz,275774,251959,23815,0.9136
bwaves_98B.trace.gz,1500,1,1499,0.0007
bzip2_183B.trace.gz,90601,66987,23614,0.7394
cactusADM_734B.trace.gz,130145,31131,99014,0.2392
calculix_2655B.trace.gz,107138,92745,14393,0.8657
gamess_196B.trace.gz,672,1,671,0.0015
gcc_13B.trace.gz,705599,265397,440202,0.3761
gobmk_60B.trace.gz,13695,5261,8434,0.3842
gromacs_0B.trace.gz,2477,575,1902,0.2321
h264ref_178B.trace.gz,22978,7903,15075,0.3439
hmmer_7B.trace.gz,65561,33202,32359,0.5064
lbm_94B.trace.gz,591963,260366,331597,0.4398
leslie3d_94B.trace.gz,279889,73119,206770,0.2612
libquantum_964B.trace.gz,294667,17890,276777,0.0607
mcf_46B.trace.gz,1127579,429815,697764,0.3812
milc_360B.trace.gz,224140,68968,155172,0.3077
namd_400B.trace.gz,465,0,465,0.0000
omnetpp_4B.trace.gz,312465,237170,75295,0.7590
perlbench_53B.trace.gz,81804,65167,16637,0.7966
povray_250B.trace.gz,1322,640,682,0.4841
sjeng_358B.trace.gz,4967,1006,3961,0.2025
soplex_66B.trace.gz,548628,264019,284609,0.4812
sphinx3_883B.trace.gz,165587,26720,138867,0.1614
tonto_2049B.trace.gz,7895,2282,5613,0.2890
wrf_1212B.trace.gz,11674,3201,8473,0.2742
xalancbmk_99B.trace.gz,319324,30203,289121,0.0946
zeusmp_100B.trace.gz,53709,14880,38829,0.2770
