trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,526820,71932,454888,0.1365
astar_23B.trace.gz,275774,251607,24167,0.9124
bwaves_98B.trace.gz,1500,1,1499,0.0007
bzip2_183B.trace.gz,90603,67076,23527,0.7403
cactusADM_734B.trace.gz,130145,29519,100626,0.2268
calculix_2655B.trace.gz,107138,91843,15295,0.8572
gamess_196B.trace.gz,672,1,671,0.0015
gcc_13B.trace.gz,705691,112454,593237,0.1594
gobmk_60B.trace.gz,13695,5261,8434,0.3842
gromacs_0B.trace.gz,2477,575,1902,0.2321
h264ref_178B.trace.gz,22978,7903,15075,0.3439
hmmer_7B.trace.gz,65562,33242,32320,0.5070
lbm_94B.trace.gz,591964,94241,497723,0.1592
leslie3d_94B.trace.gz,279886,96350,183536,0.3442
libquantum_964B.trace.gz,294667,93,294574,0.0003
mcf_46B.trace.gz,1127565,479565,648000,0.4253
milc_360B.trace.gz,224140,68968,155172,0.3077
namd_400B.trace.gz,465,0,465,0.0000
omnetpp_4B.trace.gz,312465,238135,74330,0.7621
perlbench_53B.trace.gz,81804,65283,16521,0.7980
povray_250B.trace.gz,1322,640,682,0.4841
sjeng_358B.trace.gz,4967,1006,3961,0.2025
soplex_66B.trace.gz,548626,257091,291535,0.4686
sphinx3_883B.trace.gz,165586,55121,110465,0.3329
tonto_2049B.trace.gz,7895,2282,5613,0.2890
wrf_1212B.trace.gz,11674,3201,8473,0.2742
xalancbmk_99B.trace.gz,319324,47034,272290,0.1473
zeusmp_100B.trace.gz,53709,14874,38835,0.2769
