trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,526820,91939,434881,0.1745
astar_23B.trace.gz,275774,251404,24370,0.9116
bwaves_98B.trace.gz,1500,1,1499,0.0007
bzip2_183B.trace.gz,90603,66975,23628,0.7392
cactusADM_734B.trace.gz,130145,24235,105910,0.1862
calculix_2655B.trace.gz,107138,92629,14509,0.8646
gamess_196B.trace.gz,672,1,671,0.0015
gcc_13B.trace.gz,705716,121625,584091,0.1723
gobmk_60B.trace.gz,13695,5261,8434,0.3842
gromacs_0B.trace.gz,2477,575,1902,0.2321
h264ref_178B.trace.gz,22978,7903,15075,0.3439
hmmer_7B.trace.gz,65561,25355,40206,0.3867
lbm_94B.trace.gz,591969,167483,424486,0.2829
leslie3d_94B.trace.gz,279896,104349,175547,0.3728
libquantum_964B.trace.gz,294667,1083,293584,0.0037
mcf_46B.trace.gz,1127553,489502,638051,0.4341
milc_360B.trace.gz,224140,707,223433,0.0032
namd_400B.trace.gz,465,0,465,0.0000
omnetpp_4B.trace.gz,312465,265720,46745,0.8504
perlbench_53B.trace.gz,81804,65258,16546,0.7977
povray_250B.trace.gz,1322,640,682,0.4841
sjeng_358B.trace.gz,4967,1006,3961,0.2025
soplex_66B.trace.gz,548624,282588,266036,0.5151
sphinx3_883B.trace.gz,165588,46465,119123,0.2806
tonto_2049B.trace.gz,7895,2282,5613,0.2890
wrf_1212B.trace.gz,11674,3201,8473,0.2742
xalancbmk_99B.trace.gz,319324,71708,247616,0.2246
zeusmp_100B.trace.gz,53709,9945,43764,0.1852
