trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,526819,143600,383219,0.2726
astar_23B.trace.gz,275774,251406,24368,0.9116
bwaves_98B.trace.gz,1500,1,1499,0.0007
bzip2_183B.trace.gz,90601,66681,23920,0.7360
cactusADM_734B.trace.gz,130145,31315,98830,0.2406
calculix_2655B.trace.gz,107138,91992,15146,0.8586
gamess_196B.trace.gz,672,1,671,0.0015
gcc_13B.trace.gz,705582,246543,459039,0.3494
gobmk_60B.trace.gz,13695,5261,8434,0.3842
gromacs_0B.trace.gz,2477,575,1902,0.2321
h264ref_178B.trace.gz,22978,7903,15075,0.3439
hmmer_7B.trace.gz,65561,30623,34938,0.4671
lbm_94B.trace.gz,591968,246718,345250,0.4168
leslie3d_94B.trace.gz,279891,89657,190234,0.3203
libquantum_964B.trace.gz,294667,17890,276777,0.0607
mcf_46B.trace.gz,1127572,453335,674237,0.4020
milc_360B.trace.gz,224140,59513,164627,0.2655
namd_400B.trace.gz,465,0,465,0.0000
omnetpp_4B.trace.gz,312465,235265,77200,0.7529
perlbench_53B.trace.gz,81804,65294,16510,0.7982
povray_250B.trace.gz,1322,640,682,0.4841
sjeng_358B.trace.gz,4967,1006,3961,0.2025
soplex_66B.trace.gz,548629,284095,264534,0.5178
sphinx3_883B.trace.gz,165588,33322,132266,0.2012
tonto_2049B.trace.gz,7895,2282,5613,0.2890
wrf_1212B.trace.gz,11674,3201,8473,0.2742
xalancbmk_99B.trace.gz,319324,36903,282421,0.1156
zeusmp_100B.trace.gz,53709,14862,38847,0.2767
