trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,540831,2496,538335,0.0046
astar_23B.trace.gz,492053,462391,29662,0.9397
bwaves_98B.trace.gz,1567,0,1567,0.0000
bzip2_183B.trace.gz,123618,83740,39878,0.6774
cactusADM_734B.trace.gz,130733,3959,126774,0.0303
calculix_2655B.trace.gz,110181,85010,25171,0.7715
gamess_196B.trace.gz,653,2,651,0.0031
gcc_13B.trace.gz,783625,31010,752615,0.0396
gobmk_60B.trace.gz,18995,2724,16271,0.1434
gromacs_0B.trace.gz,2472,51,2421,0.0206
h264ref_178B.trace.gz,25940,4902,21038,0.1890
hmmer_7B.trace.gz,66097,8436,57661,0.1276
lbm_94B.trace.gz,596775,84788,511987,0.1421
leslie3d_94B.trace.gz,280242,31865,248377,0.1137
libquantum_964B.trace.gz,294671,156,294515,0.0005
mcf_46B.trace.gz,1892292,745290,1147002,0.3939
milc_360B.trace.gz,293105,0,293105,0.0000
namd_400B.trace.gz,518,12,506,0.0232
omnetpp_4B.trace.gz,557299,253020,304279,0.4540
perlbench_53B.trace.gz,114479,79036,35443,0.6904
povray_250B.trace.gz,2195,598,1597,0.2724
sjeng_358B.trace.gz,9440,369,9071,0.0391
soplex_66B.trace.gz,678268,211859,466409,0.3124
sphinx3_883B.trace.gz,193757,48829,144928,0.2520
tonto_2049B.trace.gz,9878,1403,8475,0.1420
wrf_1212B.trace.gz,13407,3328,10079,0.2482
xalancbmk_99B.trace.gz,419917,49403,370514,0.1176
zeusmp_100B.trace.gz,89691,42243,47448,0.4710
